index,prob
0,0.9999665915966034
1,0.9999764281160691
2,0.9999871003774949
3,0.9999911859631538
4,0.99999192234588
5,0.99999323921899
6,0.9999927145008948
7,0.999992503917643
8,0.9999925379914448
9,0.9998988197730468
10,0.9999086337912115
11,0.9999213470597741
12,0.999927166555482
13,0.9999328346635031
14,0.9999386010863257
15,0.9999415219807234
16,0.999944252088482
17,0.9999497513003885
18,0.9999506453349984
19,0.9999527824447327
20,0.9999562907981646
21,0.9999573926359827
22,0.9999574124475568
23,0.9999590207701144
24,0.9999597861042505
25,0.9999619861954285
26,0.9999599989129708
27,0.9999616689914096
28,0.9999624040357395
29,0.9999628754217137
30,0.9999644952588097
31,0.9999658438710519
32,0.9999662335834576
33,0.9999676451606806
34,0.9999684352335576
35,0.9999689340591431
36,0.9999700039525761
37,0.9999698852314417
38,0.9999706470477048
39,0.9999711626931165
40,0.9999716760850448
41,0.9999725294742376
42,0.9999731010890582
43,0.9999734106705941
44,0.9999737922144477
45,0.9999739083743966
46,0.9999744286211718
47,0.9999746190095934
48,0.9999745972285302
49,0.9999750013813885
50,0.9999750701086147
51,0.9999755308649162
52,0.9999758329811254
53,0.9999760015185128
54,0.9999594473849337
55,0.9999597118832791
56,0.9999604937861767
57,0.999960857106751
58,0.9999610128296568
59,0.9999621295550051
60,0.9999626588009164
61,0.9999635093980137
62,0.9999638492548595
63,0.9999642645807743
64,0.9999647053038386
65,0.9999651332958854
66,0.9999655239646031
67,0.9999657605096736
68,0.9999658870977914
69,0.999966061085768
70,0.9999667155861895
71,0.9999674107637074
72,0.9999676085148579
73,0.9999680841848049
74,0.9999683402101912
75,0.9999682420895454
76,0.9999684464391195
77,0.999968753174971
78,0.9999692317437887
79,0.9995767486114387
80,0.9995804467513916
81,0.9995857161106214
82,0.9995904729798825
83,0.9995964599515168
84,0.9996008683201699
85,0.9996057836405344
86,0.999610775008529
87,0.9996146278887268
88,0.9996209016715788
89,0.9996240591684669
90,0.9996272920633342
91,0.9996315391961276
92,0.9996338035465063
93,0.9996369048652956
94,0.999641745616466
95,0.9996466941508612
96,0.999651744812395
97,0.9996564568547555
98,0.9996586583036694
99,0.9996596679287991
100,0.9996633376569206
101,0.9996664827929743
102,0.9996694057808714
103,0.9996715997150868
104,0.9996780096853012
105,0.9996827894705348
106,0.9996852922155146
107,0.9996880464608887
108,0.9996907263167815
109,0.9996926771655121
110,0.9996942002866669
111,0.9996963387195984
112,0.9996963586062287
113,0.9996970812141781
114,0.9997005429451292
115,0.9997027588500922
116,0.9997044427689195
117,0.9997066171537885
118,0.9996763840769916
